,tissue,histology,gender,PHA-665752,Irinotecan,17-AAG,TAE684,TKI258,PD-0332991,PLX4720,ZD-6474,Nutlin-3,Sorafenib,L-685458,Erlotinib,Lapatinib,PD-0325901,PF2341066,AEW541,Nilotinib,Topotecan,LBW242,AZD0530,Panobinostat,Paclitaxel,RAF265,AZD6244
1321N1,central_nervous_system,glioma,M',8.0,,0.22807844,3.001203775,2.653239012,,8.0,5.601102352000001,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.148274869,8.0,8.0,0.075148188,0.002542614,8.0,8.0
143B,bone,osteosarcoma,F',,,,,,,,,,,,,,,,,,,,,,,,
22RV1,prostate,carcinoma,M',8.0,0.080764666,0.329701692,4.14404583,5.879253864,8.0,8.0,8.0,8.0,6.8192400929999994,8.0,8.0,7.847305297999999,8.0,3.772895575,2.329924107,8.0,0.099058755,8.0,8.0,0.027688215,0.008228042,5.365866661,8.0
2313287,stomach,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
253J,urinary_tract,carcinoma,NA',,,,,,,,,,,,,,,,,,,,,,,,
253JBV,urinary_tract,carcinoma,U',,,,,,,,,,,,,,,,,,,,,,,,
42MGBA,central_nervous_system,glioma,M',8.0,,0.053038094,2.827590942,0.22924732899999997,,8.0,8.0,8.0,8.0,3.267752409,8.0,8.0,5.87059021,8.0,2.68212986,,0.039293982000000005,8.0,4.597949505,0.068957984,0.002542614,,8.0
5637,urinary_tract,carcinoma,M',8.0,0.06704437,0.07082279,2.4730944630000002,5.962202072,8.0,3.738452435,3.3984034060000003,8.0,7.166136265,8.0,2.439512491,2.30776763,8.0,7.235603809,5.002314091000001,7.475354671,0.173501834,8.0,3.192236662,0.048791941,0.002920167,1.064665556,8.0
59M,ovary,carcinoma,F',,,,,,,,,,,,,,,,,,,,,,,,
639V,urinary_tract,carcinoma,M',8.0,0.069568723,0.150094494,2.217580795,3.313957453,8.0,8.0,4.168947697,8.0,8.0,8.0,8.0,8.0,8.0,5.662527084,1.7361813780000002,8.0,0.043717291,8.0,8.0,0.08150626,0.0025,2.779998302,8.0
647V,urinary_tract,carcinoma,M',,,,,,,,,,,,,,,,,,,,,,,,
697,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,M',3.275441885,0.034992038999999996,0.422571242,0.840449274,0.7909072640000001,0.8475803140000001,1.699568575,5.612644196000001,1.8905236719999998,6.38256073,0.332892686,4.232964516,0.849476227,8.0,2.3897721769999998,4.260821818999999,1.910434365,0.033808429,8.0,7.261883259,0.011503134,0.002542614,0.183057606,8.0
769P,kidney,carcinoma,F',7.150411129,0.740817904,0.15179879999999998,6.65909338,4.258596896999999,6.699622631,8.0,2.56703949,5.591301917999999,8.0,8.0,2.325097322,1.057461143,1.4542716740000001,7.862992287000001,8.0,8.0,0.5125873679999999,8.0,1.071310043,0.087454058,0.204561085,1.062345743,8.0
786O,kidney,carcinoma,M',8.0,0.20922014100000003,0.279530227,8.0,8.0,8.0,,,8.0,7.3938102720000005,8.0,8.0,7.178035259,8.0,8.0,7.613147736,8.0,0.070824966,8.0,8.0,0.23768620199999999,0.21331250699999998,6.630919456,8.0
