Accession,Release_Date,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW560187,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29786,USA: FL,FL,Homo sapiens,,2021-01-15
MW560188,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29797,USA: FL,FL,Homo sapiens,,2021-01-18
MW560552,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29851,USA,,Homo sapiens,oronasopharynx,2021-01-17
MW560553,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29859,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560554,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560555,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,USA,,Homo sapiens,oronasopharynx,2021-01-13
MW560556,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29747,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560557,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,USA,,Homo sapiens,oronasopharynx,2021-01-13
MW560558,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29662,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560559,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29858,USA,,Homo sapiens,oronasopharynx,2021-01-09
MW560560,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,USA,,Homo sapiens,oronasopharynx,2021-01-16
MW560561,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29653,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560562,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,USA,,Homo sapiens,oronasopharynx,2021-01-14
MW560563,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29858,USA,,Homo sapiens,oronasopharynx,2021-01-08
MW560564,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29858,USA,,Homo sapiens,oronasopharynx,2021-01-11
MW560565,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,USA,,Homo sapiens,oronasopharynx,2021-01-11
MW560566,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29522,USA,,Homo sapiens,oronasopharynx,2021-01-11
